City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Noumea,NC,86.0,broken clouds,-22.28,166.46,Hôtel Le Lagon
2,Laguna,US,63.0,clear sky,38.42,-121.42,Courtyard by Marriott Sacramento Midtown
5,Kavieng,PG,84.61,clear sky,-2.57,150.8,Lissenung Island Resort
7,Kapaa,US,82.4,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
9,Hermanus,ZA,64.0,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
12,Sao Joao Da Barra,BR,75.96,overcast clouds,-21.64,-41.05,Palace Hotel - Campos dos Goytacazes
13,Metro,ID,76.48,overcast clouds,-5.11,105.31,Novotel Lampung
18,Qandala,SO,76.26,scattered clouds,11.47,49.87,
19,Afonso Bezerra,BR,77.54,clear sky,-5.5,-36.51,Aquiraz Manhattan Beach Riviera
25,Abu Dhabi,AE,73.4,clear sky,24.47,54.37,Emirates Palace
27,Butaritari,KI,81.75,overcast clouds,3.07,172.79,Isles Sunset Lodge
31,Adrar,MR,65.7,overcast clouds,20.5,-10.07,
33,Guarapari,BR,78.8,overcast clouds,-20.67,-40.5,Hotel Porto do Sol
36,Plettenberg Bay,ZA,63.36,few clouds,-34.05,23.37,Protea Hotel by Marriott Knysna Quays
41,Port-Gentil,GA,78.8,light rain,-0.72,8.78,Fengshui Residence
43,Bredasdorp,ZA,62.6,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
44,Puerto Ayora,EC,73.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
46,Samarai,PG,84.04,few clouds,-10.62,150.67,Tawali Resort
47,Dingle,PH,80.08,light rain,11.0,122.67,Hotel Del Rio
49,Carutapera,BR,77.9,overcast clouds,-1.2,-46.02,Lidera
51,Rikitea,PF,77.68,clear sky,-23.12,-134.97,Pension Maro'i
52,Hilo,US,84.2,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
55,Kiunga,PG,83.19,overcast clouds,-6.12,141.29,Airport Lodge Kiunga
57,Hithadhoo,MV,82.49,clear sky,-0.6,73.08,"Shangri-La's Villingili Resort & Spa, Maldives"
63,Acapulco,MX,84.2,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
64,Vicuna,CL,73.99,clear sky,-30.03,-70.71,Balcones de Pisco Elqui
66,Oranjestad,AW,80.6,few clouds,12.52,-70.03,Holiday Inn Resort Aruba-Beach Resort & Casino
72,Bondo,CD,69.1,scattered clouds,3.81,23.69,Auberge MaToush
73,Makakilo City,US,86.0,scattered clouds,21.35,-158.09,Best Western The Plaza Hotel
74,Vaini,TO,80.6,overcast clouds,-21.2,-175.2,Little Italy Hotel
75,Alofi,NU,86.0,overcast clouds,-19.06,-169.92,Scenic Matavai Resort Niue
76,Port Alfred,ZA,68.18,broken clouds,-33.59,26.89,The Halyards Hotel
78,Trincomalee,LK,77.95,broken clouds,8.57,81.23,Nilaveli Beach Hotel
79,Bin Qirdan,TN,63.03,scattered clouds,33.14,11.22,hotel odyssee resort thalasso & spa
81,Ponta Do Sol,PT,60.8,few clouds,32.67,-17.1,Golden Residence Hotel
85,Marawi,PH,74.75,overcast clouds,8.0,124.29,Alchris Boarding
86,Souillac,MU,75.2,few clouds,-20.52,57.52,Hilton Mauritius Resort & Spa
87,Hambantota,LK,71.6,clear sky,6.12,81.12,Palm Paradise Cabanas & Villas Beach Resort Tangalle
91,Port Elizabeth,ZA,66.2,light rain,-33.92,25.57,"Radisson Blu Hotel, Port Elizabeth"
92,Natal,BR,80.6,few clouds,-5.79,-35.21,Bello Mare Hotel
95,Coahuayana,MX,80.6,broken clouds,18.73,-103.68,Concierge Plaza San Rafael
96,Port Lincoln,AU,60.96,overcast clouds,-34.73,135.87,Port Lincoln Hotel
101,Lorengau,PG,86.77,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
103,Wattegama,LK,71.6,clear sky,6.8,81.48,Bay Vista Hotel
104,Acarau,BR,80.04,broken clouds,-2.89,-40.12,Pousada Jeribá
106,Bambous Virieux,MU,75.2,few clouds,-20.34,57.76,Hilton Mauritius Resort & Spa
109,Cape Town,ZA,66.2,clear sky,-33.93,18.42,"Radisson Blu Hotel Waterfront, Cape Town"
111,Kawalu,ID,74.57,broken clouds,-7.38,108.21,Hotel Santika Tasikmalaya
112,Cidreira,BR,64.87,overcast clouds,-30.18,-50.21,Hotel Da Praia
113,Poum,NC,77.63,clear sky,-20.23,164.02,Gite de Pagop
118,Touho,NC,79.09,clear sky,-20.78,165.23,Auberge Timay Evasion
122,Saint-Philippe,RE,73.4,clear sky,-21.36,55.77,Hôtel L'Ecrin
128,Safaga,EG,66.2,clear sky,26.73,33.94,Serenity Makadi Beach
130,Auki,SB,79.14,light rain,-8.77,160.7,Auki Motel
131,Mitu,CO,73.85,overcast clouds,1.2,-70.17,Hotel Brasilia Vaupés
132,Mahibadhoo,MV,82.83,overcast clouds,3.78,72.97,Sun Island Resort
133,Ojo Caliente,MX,60.8,broken clouds,22.57,-102.25,Quinta Real Zacatecas
