City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Noumea,NC,-22.28,166.46,86,55,75,5.82,broken clouds
1,Punta Arenas,CL,-53.15,-70.92,57.2,67,0,16.11,clear sky
2,Laguna,US,38.42,-121.42,63,38,1,5.82,clear sky
3,Busselton,AU,-33.65,115.33,57.99,71,49,1.01,scattered clouds
4,Sitka,US,57.05,-135.33,50,81,90,9.17,light rain
5,Kavieng,PG,-2.57,150.8,84.61,68,0,11.34,clear sky
6,San Patricio,US,28.02,-97.52,55.4,66,90,6.93,overcast clouds
7,Kapaa,US,22.08,-159.32,82.4,65,1,8.05,clear sky
8,Kalisz,PL,51.76,18.09,45,85,95,5.99,overcast clouds
9,Hermanus,ZA,-34.42,19.23,64,83,94,5.99,overcast clouds
10,Elizabeth City,US,36.29,-76.25,48.99,66,90,5.82,overcast clouds
11,Albany,US,42.6,-73.97,39,57,100,1.99,overcast clouds
12,Sao Joao Da Barra,BR,-21.64,-41.05,75.96,90,97,8.72,overcast clouds
13,Metro,ID,-5.11,105.31,76.48,89,87,10.63,overcast clouds
14,Asau,RO,46.43,26.4,37,26,100,3.67,overcast clouds
15,Gorno-Altaysk,RU,51.96,85.95,9.64,87,37,0.51,scattered clouds
16,Lokosovo,RU,61.13,74.82,7.5,94,47,8.19,scattered clouds
17,Marfino,RU,55.7,37.38,18,67,0,6.71,clear sky
18,Qandala,SO,11.47,49.87,76.26,62,30,1.81,scattered clouds
19,Afonso Bezerra,BR,-5.5,-36.51,77.54,66,1,21.23,clear sky
20,Hobart,AU,-42.88,147.33,57,46,75,20.8,broken clouds
21,Bethel,US,41.37,-73.41,39.2,80,90,10.29,overcast clouds
22,Hinton,CA,53.4,-117.59,30.2,63,100,4.7,overcast clouds
23,Ulaanbaatar,MN,47.91,106.88,-9.4,83,0,2.24,clear sky
24,Ilulissat,GL,69.22,-51.1,30.2,80,100,8.05,light snow
25,Abu Dhabi,AE,24.47,54.37,73.4,88,0,2.24,clear sky
26,Hovd,MN,48.01,91.64,1.38,70,0,1.1,clear sky
27,Butaritari,KI,3.07,172.79,81.75,77,98,14.16,overcast clouds
28,Chuy,UY,-33.7,-53.46,53.98,71,32,5.53,scattered clouds
29,Tasiilaq,GL,65.61,-37.64,24.8,79,100,12.75,overcast clouds
30,Casper,US,42.87,-106.31,42.01,35,1,16.11,clear sky
31,Adrar,MR,20.5,-10.07,65.7,46,92,10.71,overcast clouds
32,Ushuaia,AR,-54.8,-68.3,53.6,71,75,16.11,broken clouds
33,Guarapari,BR,-20.67,-40.5,78.8,83,90,11.41,overcast clouds
34,Codrington,AU,-38.27,141.97,56.43,64,84,24.74,light rain
35,Jimo,CN,36.39,120.46,37.99,92,0,2.28,mist
36,Plettenberg Bay,ZA,-34.05,23.37,63.36,88,21,5.1,few clouds
37,Thompson,CA,55.74,-97.86,17.6,92,90,3.36,mist
