City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2020-12-02 02:17:42,-42.88,147.33,62.6,33,40,23.04
1,Punta Arenas,CL,2020-12-02 02:20:18,-53.15,-70.92,39.2,78,75,20.8
2,Ushuaia,AR,2020-12-02 02:17:59,-54.8,-68.3,37.4,94,40,17.22
3,Albany,US,2020-12-02 02:20:18,42.6,-73.97,41.0,52,32,1.01
4,Gizo,SB,2020-12-02 02:20:18,-8.1,156.84,85.57,67,98,3.87
5,Mar Del Plata,AR,2020-12-02 02:20:18,-38.0,-57.56,66.2,77,0,13.87
6,East London,ZA,2020-12-02 02:20:18,-33.02,27.91,62.1,65,96,19.35
7,Atuona,PF,2020-12-02 02:20:18,-9.8,-139.03,78.49,75,1,14.65
8,Busselton,AU,2020-12-02 02:20:18,-33.65,115.33,70.0,52,0,1.99
9,Pavlodar,KZ,2020-12-02 02:20:18,52.3,76.95,-7.6,76,90,2.93
10,Manta,EC,2020-12-02 02:20:18,-0.95,-80.73,75.2,78,40,11.41
11,Mataura,NZ,2020-12-02 02:20:19,-46.19,168.86,60.01,55,100,17.0
12,Faanui,PF,2020-12-02 02:20:19,-16.48,-151.75,81.07,76,10,14.72
13,Hilo,US,2020-12-02 02:18:29,19.73,-155.09,80.6,57,20,9.17
14,Kapaa,US,2020-12-02 02:20:19,22.08,-159.32,80.6,69,90,8.05
15,Lagoa,PT,2020-12-02 02:20:19,39.05,-27.98,62.04,79,98,33.98
16,Pinotepa Nacional,MX,2020-12-02 02:20:19,16.32,-98.02,73.26,84,72,1.72
17,Saskylakh,RU,2020-12-02 02:20:19,71.92,114.08,13.33,96,97,5.84
18,Vaini,TO,2020-12-02 02:20:19,-21.2,-175.2,82.4,74,75,10.29
19,Half Moon Bay,US,2020-12-02 02:20:19,37.46,-122.43,55.99,71,20,11.41
20,San Cristobal,VE,2020-12-02 02:20:19,7.77,-72.22,66.22,91,100,2.26
21,Puerto Quijarro,BO,2020-12-02 02:20:19,-17.78,-57.77,78.67,74,23,2.73
22,Katsuura,JP,2020-12-02 02:17:15,35.13,140.3,52.0,71,75,17.22
23,Okoneshnikovo,RU,2020-12-02 02:20:20,54.84,75.08,-0.38,91,0,4.72
24,Killybegs,IE,2020-12-02 02:20:20,54.63,-8.45,45.0,94,100,1.99
25,Carnarvon,AU,2020-12-02 02:20:20,-24.87,113.63,80.6,32,0,14.99
26,Lata,PT,2020-12-02 02:20:20,40.16,-8.33,55.0,93,99,2.24
27,Sitka,US,2020-12-02 02:20:20,57.05,-135.33,55.4,76,90,27.51
28,Kodiak,US,2020-12-02 02:20:20,57.79,-152.41,41.0,93,90,5.44
29,Oranjestad,AW,2020-12-02 02:16:10,12.52,-70.03,82.4,78,20,18.34
30,Te Anau,NZ,2020-12-02 02:16:17,-45.42,167.72,47.64,88,99,10.42
31,Ilulissat,GL,2020-12-02 02:20:20,69.22,-51.1,17.6,78,99,9.17
32,Lasa,IT,2020-12-02 02:20:20,46.62,10.7,30.0,92,5,4.7
33,Bluff,NZ,2020-12-02 02:20:20,-46.6,168.33,60.01,55,100,17.0
34,Samarai,PG,2020-12-02 02:20:21,-10.62,150.67,83.48,75,100,10.65
35,Port Hedland,AU,2020-12-02 02:18:59,-20.32,118.57,98.6,32,6,12.75
36,Yellowknife,CA,2020-12-02 02:20:21,62.46,-114.35,26.6,79,20,12.75
37,Rikitea,PF,2020-12-02 02:20:21,-23.12,-134.97,75.81,65,65,4.5
38,Barrow,US,2020-12-02 02:18:23,71.29,-156.79,5.0,77,90,19.46
39,Aden,YE,2020-12-02 02:17:42,12.78,45.04,78.35,78,2,14.58
40,Port Elizabeth,ZA,2020-12-02 02:16:40,-33.92,25.57,57.2,87,75,9.17
41,Hasaki,JP,2020-12-02 02:20:21,35.73,140.83,48.2,93,75,10.29
42,Yatou,CN,2020-12-02 02:20:21,37.15,122.38,39.78,72,83,5.79
43,Pinos Puente,ES,2020-12-02 02:20:21,37.25,-3.75,42.01,93,0,1.12
44,Cape Town,ZA,2020-12-02 02:20:02,-33.93,18.42,61.0,62,20,12.75
